,0,1,2,3,4,5,6,7,8,9
1,0,728.924,3797.899,212.181,374.890,577.402,499.158,645.770,1731.064,406.701
2,,0,3072.889,935.885,1100.833,1303.896,1225.352,1372.092,1005.293,490.928
3,,,0,4001.038,4170.305,4372.789,4294.953,4440.720,2513.423,3396.420
4,,,,0,171.365,375.248,296.255,443.498,1934.087,609.749
5,,,,,0,204.523,125.597,272.935,2102.865,779.397
6,,,,,,0,79.402,69.590,2306.380,983.020
7,,,,,,,0,147.866,2227.556,904.370
8,,,,,,,,0,2374.545,1050.916
9,,,,,,,,,0,1327.584
10,,,,,,,,,,0
