,Round1,Round2,Round3,Round4,Round5,Round6,Round7,Round8,Round9,Round10,Round11,Round12,Round13,Round14,Round15,Round16,Round17,Round18,Round19,Round20
C1,623660345.306,509862908.298,485480681.872,463997011.685,460969266.573,460537847.983,460313099.654,460003523.889,459570539.318,459021103.342,458490656.192,457944232.588,457558005.199,457290136.352,457050555.060,456892235.615,456703630.737,456404203.019,456177800.542,455986871.027
C2,438747790.028,249803933.626,194494814.406,169804841.452,156295748.806,149094208.109,142508531.620,132303869.407,117170969.837,108547377.179,102237203.318,98278015.750,95630226.122,93793314.051,92377131.968,91541606.254,91045573.830,90752240.101,90470170.181,90216416.176
