,0,1,2,3,4,5,6,7,8,9
1,0,15747.234,14100.145,9032.333,5554.787,2006.703,1338.161,514.627,1571.243,3022.661
2,,0,11524.506,6743.884,10192.525,14474.554,14412.057,15239.877,14328.226,12731.398
3,,,0,9545.879,10883.382,12167.794,13125.351,13684.607,12643.986,12006.395
4,,,,0,3494.222,7742.628,7694.277,8521.198,7588.405,6009.820
5,,,,,0,4452.972,4219.761,5047.516,4167.637,2542.569
6,,,,,,0,1405.109,1637.729,910.994,2124.263
7,,,,,,,0,827.841,566.551,1684.516
8,,,,,,,,0,1081.379,2511.459
9,,,,,,,,,0,1649.389
10,,,,,,,,,,0
